ID,STG,SCG,STR,LPR,PEG, UNS
1,0,0,0,0,0,0
2,0.08,0.08,0.1,0.24,0.9,3
3,0.06,0.06,0.05,0.25,0.33,1
4,0.1,0.1,0.15,0.65,0.3,2
5,0.08,0.08,0.08,0.98,0.24,1
6,0.09,0.15,0.4,0.1,0.66,2
7,0.1,0.1,0.43,0.29,0.56,2
8,0.15,0.02,0.34,,0.01,0
9,0.2,0.14,0.35,0.72,0.25,1
10,0,0,0.5,0.2,0.85,3
11,0.18,0.18,0.55,0.3,0.81,3
12,0.06,0.06,0.51,0.41,0.3,1
13,0.1,0.1,0.52,0.78,0.34,2
14,0.1,0.1,0.7,0.15,0.9,3
15,0.2,0.2,0.7,0.3,0.6,2
16,0.12,0.12,0.75,0.35,0.8,3
17,0.05,0.07,0.7,0.01,0.05,0
18,0.1,0.25,0.1,0.08,0.33,1
19,0.15,0.32,0.05,0.27,0.29,1
20,0.2,0.29,0.25,0.49,0.56,2
21,0.12,0.28,0.2,0.78,0.2,1
22,0.18,0.3,0.37,0.12,0.66,2
23,0.1,0.27,0.31,0.29,0.65,2
24,0.18,0.31,0.32,0.42,0.28,1
25,0.06,0.29,0.35,0.76,0.25,1
26,0.09,0.3,0.68,0.18,0.85,3
27,0.04,0.28,0.55,0.25,0.1,0
28,0.09,0.255,0.6,,0.25,1
29,0.08,0.325,0.62,0.94,0.56,3
30,0.15,0.275,0.8,0.21,0.81,3
31,0.12,0.245,0.75,0.31,0.59,2
32,0.15,0.295,0.75,0.65,0.24,1
33,0.1,0.256,0.7,0.76,0.16,1
34,0.18,0.32,0.04,0.19,0.82,3
35,0.2,0.45,0.28,0.31,0.78,3
36,0.06,0.35,0.12,0.43,0.29,1
37,0.1,0.42,0.22,0.72,0.26,1
38,0.18,0.4,0.32,0.08,0.33,1
39,0.09,0.33,0.31,0.26,0,0
40,0.19,0.38,0.38,0.49,0.45,2
41,0.02,0.33,0.36,0.76,0.1,1
42,0.2,0.49,0.6,0.2,0.78,3
43,0.14,0.49,0.55,0.29,0.6,2
44,0.18,0.33,0.61,0.64,0.25,2
45,0.115,0.35,0.65,0.27,0.04,0
46,0.17,0.36,0.8,0.14,0.66,2
47,0.1,0.39,0.75,0.31,0.62,2
